"Combo" "Temp" "NetProfit"
"Combo1" 88 62
"Combo2" 94 66
"Combo4" 89 69
"Combo2" 93 72
"Combo1" 92 57
"Combo4" 94 80
"Combo1" 89 72
"Combo1" 86 66
"Combo1" 88 58
"Combo4" 91 64
"Combo2" 94 63
"Combo1" 96 66
"Combo1" 91 69
"Combo1" 95 71
"Combo1" 89 60
"Combo4" 97 66
"Combo1" 87 64
"Combo1" 89 64
"Combo4" 89 68
"Combo2" 89 61
"Combo1" 90 67
"Combo4" 84 61
"Combo1" 85 55
"Combo1" 83 69
"Combo1" 95 64
"Combo1" 88 52
"Combo4" 90 67
"Combo4" 89 66
"Combo1" 88 69
"Combo4" 89 72
"Combo3" 86 57
"Combo4" 89 70
"Combo2" 89 70
"Combo2" 89 66
"Combo4" 90 74
"Combo4" 86 62
"Combo3" 86 64
"Combo4" 96 68
"Combo4" 90 66
"Combo4" 92 70
"Combo1" 94 65
"Combo4" 87 70
"Combo4" 94 63
"Combo1" 90 70
"Combo4" 89 65
"Combo4" 92 77
"Combo4" 90 71
"Combo3" 90 65
"Combo4" 91 74
"Combo4" 88 62
"Combo4" 88 74
"Combo2" 91 76
"Combo2" 90 68
"Combo4" 91 63
"Combo4" 91 71
"Combo1" 88 55
"Combo4" 94 68
"Combo4" 90 65
"Combo2" 88 64
"Combo4" 86 68
"Combo1" 93 59
"Combo4" 94 69
"Combo1" 97 67
"Combo1" 93 69
"Combo1" 86 62
"Combo1" 92 64
"Combo3" 86 63
"Combo1" 90 63
"Combo1" 85 67
"Combo2" 94 78
"Combo2" 89 75
"Combo3" 90 64
"Combo4" 92 68
"Combo4" 91 59
"Combo3" 89 59
"Combo1" 87 63
"Combo1" 88 60
"Combo1" 86 62
"Combo4" 92 69
"Combo4" 88 65
"Combo1" 96 71
"Combo1" 87 60
"Combo1" 91 61
"Combo3" 86 68
"Combo2" 94 67
"Combo4" 90 67
"Combo1" 87 64
"Combo4" 88 66
"Combo4" 87 72
"Combo1" 87 66
"Combo4" 93 66
"Combo4" 86 75
"Combo4" 87 66
"Combo4" 86 70
"Combo4" 86 67
"Combo1" 90 62
"Combo1" 89 73
"Combo4" 89 66
"Combo3" 91 65
"Combo1" 89 62
"Combo4" 90 65
"Combo1" 89 74
"Combo1" 95 61
"Combo3" 96 64
"Combo1" 90 56
"Combo4" 91 71
"Combo4" 86 63
"Combo4" 95 61
"Combo1" 88 66
"Combo1" 84 70
"Combo2" 89 73
"Combo4" 88 65
"Combo1" 85 60
"Combo1" 89 69
"Combo1" 87 67
"Combo4" 96 69
"Combo4" 89 61
"Combo4" 88 61
"Combo4" 93 69
"Combo4" 87 67
"Combo4" 91 68
"Combo4" 93 65
"Combo4" 94 61
"Combo2" 92 78
"Combo4" 84 66
"Combo4" 93 66
"Combo1" 87 76
"Combo1" 87 66
"Combo4" 90 68
"Combo4" 91 71
"Combo4" 92 72
"Combo3" 87 50
"Combo1" 89 72
"Combo4" 88 69
"Combo1" 94 63
"Combo4" 93 56
"Combo3" 84 62
"Combo2" 87 74
"Combo4" 92 76
"Combo1" 90 66
"Combo1" 89 72
"Combo1" 88 52
"Combo4" 89 69
"Combo3" 90 66
"Combo4" 88 68
"Combo4" 84 72
"Combo1" 86 70
"Combo1" 87 62
"Combo4" 85 63
"Combo4" 93 68
"Combo1" 87 64
"Combo4" 86 62
"Combo4" 92 69
"Combo4" 87 72
"Combo2" 92 70
"Combo4" 90 68
"Combo4" 91 72
"Combo4" 85 63
"Combo4" 86 64
"Combo3" 86 65
"Combo3" 91 62
"Combo4" 89 67
"Combo1" 92 68
"Combo4" 90 62
"Combo1" 83 68
"Combo4" 91 70
"Combo3" 88 63
"Combo2" 97 77
"Combo1" 90 64
"Combo4" 91 62
"Combo4" 93 67
"Combo1" 88 74
"Combo4" 87 67
"Combo1" 84 70
"Combo4" 86 67
"Combo2" 94 79
"Combo4" 92 75
"Combo3" 86 67
"Combo1" 94 72
"Combo1" 90 64
"Combo1" 87 63
"Combo4" 86 68
"Combo1" 85 64
"Combo1" 88 72
"Combo4" 88 67
"Combo1" 90 62
"Combo1" 90 66
"Combo4" 90 71
"Combo4" 93 73
"Combo4" 87 67
"Combo2" 91 71
"Combo1" 90 66
"Combo4" 90 68
"Combo2" 91 74
"Combo2" 91 72
"Combo1" 89 67
"Combo4" 87 74
"Combo1" 86 63
"Combo4" 88 67
"Combo4" 90 70
"Combo2" 90 61
"Combo1" 89 65
"Combo4" 96 64
"Combo2" 89 72
"Combo1" 91 63
"Combo2" 92 67
"Combo1" 91 65
"Combo4" 90 72
"Combo1" 93 70
"Combo1" 87 63
"Combo4" 89 68
"Combo4" 88 64
"Combo1" 86 63
"Combo1" 95 68
"Combo1" 86 64
"Combo3" 90 66
"Combo1" 91 66
"Combo1" 87 69
"Combo2" 88 69
"Combo1" 86 67
"Combo4" 87 70
"Combo1" 91 74
